runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MonoObjective.AU_07,1,0.524054,0.545570,0.553867,0.556285,0.750108,0.754993,0.760701,0.763452,0.566413,0.614515,0.639716,0.650742,0.769448,0.780546,0.795092,0.806275,0.500240,0.739158,0.083558,0.360000,0.280000,0.290000,0.273333,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_07,3,0.254766,0.297019,0.310063,0.318413,0.370925,0.414699,0.429163,0.440560,0.268289,0.354390,0.403264,0.443082,0.373640,0.453993,0.504125,0.553069,0.256230,0.381823,0.056293,0.200000,0.240000,0.260000,0.253333,0.400000,0.600000,0.800000,1.000000
MonoObjective.AU_07,5,0.411800,0.426252,0.430842,0.431033,0.624312,0.615906,0.616066,0.616076,0.425929,0.455614,0.470894,0.471735,0.616687,0.599129,0.601222,0.601261,0.399278,0.625449,0.155448,0.320000,0.280000,0.240000,0.233333,0.600000,0.600000,0.600000,0.600000
MonoObjective.AU_07,6,0.365507,0.397568,0.416614,0.420346,0.503543,0.531769,0.554098,0.558710,0.413040,0.483315,0.548955,0.566202,0.540984,0.597147,0.667092,0.686224,0.345639,0.487165,0.123461,0.240000,0.260000,0.280000,0.266667,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_07,7,0.464145,0.503139,0.513741,0.516999,0.633884,0.666649,0.678237,0.682425,0.502988,0.595693,0.632027,0.647447,0.650046,0.725409,0.761785,0.779833,0.434176,0.609372,0.114539,0.320000,0.340000,0.300000,0.326667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,8,0.486536,0.523433,0.531064,0.531968,0.683673,0.713610,0.719637,0.720706,0.542681,0.623984,0.647945,0.652013,0.718730,0.778783,0.795102,0.799385,0.440001,0.641937,0.088868,0.320000,0.300000,0.260000,0.266667,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_07,9,0.335250,0.399179,0.409211,0.413615,0.494202,0.562581,0.571203,0.577031,0.391230,0.525692,0.556852,0.576911,0.552626,0.678726,0.699675,0.723212,0.304309,0.458971,0.074734,0.240000,0.280000,0.280000,0.273333,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,10,0.394554,0.440067,0.468261,0.469432,0.573944,0.614458,0.648734,0.650157,0.407363,0.499150,0.591778,0.597022,0.564114,0.636611,0.738320,0.743927,0.385323,0.577545,0.087320,0.240000,0.240000,0.240000,0.240000,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,11,0.389713,0.443324,0.455021,0.456660,0.530041,0.586450,0.598919,0.600969,0.445968,0.558430,0.596748,0.604093,0.574660,0.681424,0.717956,0.726251,0.368478,0.513897,0.084237,0.280000,0.300000,0.280000,0.273333,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,12,0.386989,0.419782,0.438695,0.441605,0.570473,0.591618,0.612450,0.616104,0.404955,0.482976,0.546483,0.561389,0.572014,0.623574,0.687027,0.703826,0.365604,0.551419,0.094079,0.280000,0.260000,0.250000,0.260000,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,13,0.292890,0.316472,0.353572,0.358370,0.517094,0.526308,0.580719,0.588068,0.329940,0.379344,0.496513,0.520660,0.529306,0.543788,0.688567,0.719517,0.270702,0.504328,0.080166,0.200000,0.200000,0.220000,0.233333,0.600000,0.600000,1.000000,1.000000
MonoObjective.AU_07,14,0.455068,0.480698,0.492112,0.498121,0.659939,0.670247,0.679847,0.687777,0.503981,0.558494,0.592602,0.621149,0.698086,0.714951,0.738933,0.772806,0.411340,0.611681,0.063658,0.280000,0.260000,0.270000,0.260000,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_07,16,0.339486,0.371499,0.388915,0.397880,0.477041,0.507824,0.528012,0.539993,0.390869,0.458916,0.508308,0.550398,0.517670,0.575402,0.625131,0.675900,0.310106,0.452719,0.068285,0.280000,0.280000,0.280000,0.273333,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_07,18,0.291074,0.300803,0.314275,0.329170,0.409014,0.409842,0.425842,0.445891,0.325014,0.346513,0.399329,0.466268,0.430450,0.432050,0.490184,0.571644,0.269338,0.392897,0.074747,0.240000,0.240000,0.230000,0.253333,0.600000,0.600000,0.800000,1.000000
MonoObjective.AU_07,21,0.439032,0.453504,0.474219,0.479951,0.650090,0.645065,0.668797,0.676549,0.453298,0.489036,0.556199,0.586682,0.635311,0.632643,0.702493,0.739504,0.430328,0.663725,0.119417,0.360000,0.300000,0.300000,0.293333,0.600000,0.800000,0.800000,1.000000
MonoObjective.AU_07,22,0.593949,0.644015,0.651162,0.651522,0.811157,0.853308,0.859575,0.859934,0.597176,0.702129,0.725062,0.726746,0.771772,0.855022,0.873723,0.875262,0.595880,0.836325,0.090815,0.360000,0.340000,0.290000,0.286667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,23,0.233585,0.285904,0.318932,0.321239,0.421858,0.486928,0.533252,0.536190,0.252819,0.362007,0.461709,0.472897,0.419411,0.536855,0.651404,0.662775,0.224090,0.422296,0.099307,0.200000,0.200000,0.220000,0.220000,0.400000,0.800000,1.000000,1.000000
MonoObjective.AU_07,24,0.259002,0.311598,0.346467,0.347278,0.310934,0.366485,0.406229,0.407151,0.297402,0.413280,0.519107,0.522899,0.349690,0.465964,0.579970,0.584021,0.230749,0.281073,0.198570,0.200000,0.280000,0.310000,0.293333,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,25,0.412708,0.435003,0.453596,0.462675,0.579932,0.594668,0.615974,0.628040,0.420550,0.467501,0.520837,0.563210,0.556979,0.586197,0.640954,0.691879,0.409023,0.597136,0.066550,0.240000,0.240000,0.280000,0.286667,0.600000,0.600000,0.800000,1.000000
MonoObjective.AU_07,26,0.325870,0.344865,0.369629,0.371971,0.447259,0.459878,0.489985,0.492986,0.366981,0.405582,0.496127,0.507043,0.478211,0.498845,0.600106,0.612775,0.306088,0.430554,0.102211,0.320000,0.300000,0.280000,0.280000,0.600000,0.600000,1.000000,1.000000
MonoObjective.AU_07,31,0.381543,0.388440,0.418824,0.428746,0.543066,0.534629,0.572199,0.585666,0.373261,0.388711,0.488454,0.532408,0.503811,0.490912,0.604222,0.658179,0.388314,0.570269,0.072231,0.280000,0.240000,0.260000,0.260000,0.400000,0.400000,0.800000,1.000000
MonoObjective.AU_07,32,0.510136,0.526457,0.550378,0.550661,0.707512,0.710358,0.739293,0.739498,0.548506,0.585492,0.660161,0.661446,0.714560,0.723064,0.804972,0.805745,0.488168,0.704611,0.135337,0.400000,0.360000,0.360000,0.353333,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_07,33,0.398185,0.427771,0.451389,0.460622,0.548562,0.572167,0.600349,0.612244,0.417215,0.476465,0.552593,0.595736,0.546452,0.588684,0.671513,0.722019,0.380333,0.536065,0.118850,0.280000,0.300000,0.320000,0.333333,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,34,0.467171,0.481249,0.508763,0.510293,0.651477,0.652179,0.686027,0.687934,0.512604,0.542030,0.627512,0.634518,0.671943,0.672083,0.767230,0.775069,0.428785,0.622420,0.069530,0.320000,0.280000,0.270000,0.260000,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_07,35,0.242663,0.289339,0.297939,0.306078,0.345392,0.399113,0.407634,0.418557,0.259667,0.357609,0.383015,0.424021,0.350487,0.453120,0.474156,0.523823,0.236824,0.348031,0.148291,0.200000,0.220000,0.240000,0.233333,0.400000,0.600000,0.600000,0.800000
MonoObjective.AU_07,37,0.200000,0.244282,0.278354,0.292370,0.276569,0.329879,0.372578,0.391020,0.200000,0.289124,0.389400,0.454936,0.263299,0.362752,0.476139,0.554349,0.207131,0.293021,0.138413,0.200000,0.200000,0.240000,0.260000,0.200000,0.600000,0.800000,1.000000
MonoObjective.AU_07,38,0.344327,0.366865,0.374402,0.380337,0.490095,0.503494,0.510656,0.518586,0.408894,0.455873,0.482350,0.511389,0.551908,0.572425,0.595102,0.630102,0.299523,0.439756,0.067164,0.320000,0.280000,0.290000,0.280000,0.800000,0.800000,0.800000,1.000000
MonoObjective.AU_07,39,0.302269,0.344869,0.362782,0.367739,0.421875,0.464853,0.485678,0.492190,0.325582,0.418298,0.482880,0.506923,0.433566,0.519606,0.588427,0.617079,0.300972,0.428634,0.111212,0.280000,0.280000,0.290000,0.280000,0.400000,0.800000,1.000000,1.000000
MonoObjective.AU_07,40,0.331619,0.391814,0.404242,0.406422,0.470790,0.536905,0.550382,0.553138,0.388344,0.517887,0.557161,0.567119,0.523151,0.650265,0.686870,0.698017,0.298394,0.436637,0.096497,0.240000,0.280000,0.280000,0.286667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,41,0.200000,0.262708,0.292601,0.299561,0.276569,0.352884,0.390156,0.399274,0.200000,0.335225,0.439609,0.473152,0.263299,0.416377,0.534662,0.574481,0.207240,0.292920,0.071824,0.200000,0.200000,0.220000,0.233333,0.200000,0.600000,1.000000,1.000000
MonoObjective.AU_07,42,0.273525,0.322183,0.345849,0.350789,0.405018,0.458192,0.487552,0.494317,0.308579,0.417772,0.500216,0.523079,0.432484,0.540371,0.631356,0.659120,0.250696,0.386642,0.080333,0.200000,0.200000,0.230000,0.240000,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,43,0.348563,0.371781,0.391079,0.397233,0.492308,0.509313,0.531842,0.540017,0.408534,0.456889,0.520064,0.549668,0.545667,0.574410,0.640458,0.675900,0.310404,0.453717,0.061226,0.280000,0.240000,0.260000,0.260000,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_07,44,0.313464,0.371896,0.388137,0.390710,0.462087,0.524093,0.541684,0.544974,0.359982,0.486804,0.541710,0.554039,0.508487,0.628478,0.680519,0.694418,0.287785,0.434041,0.075191,0.200000,0.240000,0.230000,0.226667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,45,0.425719,0.454571,0.478366,0.483152,0.598214,0.620801,0.649105,0.655425,0.456393,0.515685,0.591118,0.614279,0.604450,0.645150,0.726347,0.753979,0.397979,0.580993,0.071753,0.360000,0.320000,0.280000,0.280000,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,46,0.307413,0.335019,0.356686,0.364244,0.434188,0.459401,0.485436,0.495543,0.363258,0.421845,0.494579,0.528280,0.485193,0.531036,0.609471,0.650022,0.266406,0.389549,0.061154,0.240000,0.280000,0.290000,0.300000,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_07,53,0.249017,0.309348,0.332712,0.334278,0.296256,0.361074,0.387427,0.389222,0.279017,0.407416,0.491578,0.498924,0.324496,0.455856,0.546209,0.554196,0.230486,0.278383,0.062323,0.240000,0.240000,0.290000,0.300000,0.400000,0.800000,1.000000,1.000000
MonoObjective.AU_07,54,0.323147,0.380828,0.398161,0.401059,0.451204,0.517112,0.537889,0.541692,0.367433,0.494846,0.548612,0.562704,0.482103,0.614493,0.671618,0.688276,0.302314,0.439793,0.084610,0.240000,0.260000,0.270000,0.273333,0.600000,1.000000,1.000000,1.000000
MonoObjective.AU_07,55,0.345537,0.349832,0.371181,0.381226,0.481857,0.474166,0.500548,0.513996,0.379752,0.389643,0.460733,0.505295,0.497795,0.483203,0.563258,0.617251,0.334552,0.485658,0.072185,0.280000,0.240000,0.270000,0.246667,0.600000,0.600000,0.800000,1.000000
MonoObjective.AU_07,57,0.306203,0.355240,0.389508,0.391385,0.425210,0.479567,0.523253,0.525643,0.335919,0.438345,0.546350,0.555302,0.439024,0.542099,0.666356,0.676574,0.298811,0.430905,0.083390,0.240000,0.260000,0.280000,0.266667,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,58,0.424206,0.454308,0.467788,0.473918,0.599145,0.620909,0.635346,0.643484,0.432928,0.505924,0.553316,0.583767,0.578250,0.633295,0.680545,0.717127,0.420003,0.613663,0.083117,0.280000,0.300000,0.280000,0.300000,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,59,0.273525,0.347376,0.365317,0.367122,0.384354,0.473587,0.495136,0.497455,0.308579,0.471306,0.531196,0.539942,0.408684,0.588229,0.652105,0.662148,0.253905,0.370435,0.053480,0.200000,0.220000,0.240000,0.246667,0.600000,1.000000,1.000000,1.000000
MonoObjective.AU_07,61,0.242663,0.260303,0.307571,0.312514,0.359319,0.370255,0.433882,0.440608,0.259667,0.298239,0.450226,0.472572,0.363931,0.385818,0.569049,0.595911,0.232894,0.359209,0.060795,0.200000,0.200000,0.260000,0.260000,0.400000,0.400000,1.000000,1.000000
MonoObjective.AU_07,63,0.327988,0.350783,0.370346,0.378938,0.480071,0.494252,0.516128,0.527791,0.363317,0.410968,0.473904,0.515411,0.510512,0.534674,0.597540,0.648300,0.315241,0.470944,0.094748,0.240000,0.240000,0.260000,0.260000,0.600000,0.600000,0.800000,1.000000
MonoObjective.AU_07,64,0.358245,0.400478,0.420752,0.421902,0.632479,0.662454,0.688232,0.689752,0.400302,0.495917,0.563053,0.568285,0.642184,0.704832,0.777161,0.782786,0.344176,0.640446,0.104351,0.240000,0.260000,0.270000,0.266667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,65,0.299849,0.346123,0.355889,0.369378,0.418497,0.466544,0.476476,0.494396,0.330868,0.421917,0.457418,0.522698,0.440606,0.524102,0.557487,0.636312,0.291900,0.415715,0.063376,0.240000,0.240000,0.230000,0.220000,0.600000,0.800000,0.800000,1.000000
MonoObjective.AU_07,67,0.331014,0.399937,0.409863,0.410819,0.471146,0.548545,0.558883,0.560042,0.395074,0.540205,0.571988,0.576204,0.533254,0.677320,0.705468,0.709921,0.290480,0.426474,0.092269,0.280000,0.320000,0.300000,0.280000,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,68,0.248411,0.283969,0.295346,0.313185,0.361356,0.397057,0.409616,0.434109,0.265855,0.334188,0.373352,0.457470,0.368156,0.427554,0.466787,0.570606,0.244445,0.366409,0.086053,0.240000,0.240000,0.250000,0.266667,0.400000,0.600000,0.600000,1.000000
MonoObjective.AU_07,71,0.292890,0.367509,0.387764,0.388723,0.416882,0.505473,0.529376,0.530521,0.329940,0.482331,0.543253,0.547513,0.445339,0.608503,0.671056,0.675457,0.278944,0.409589,0.111557,0.200000,0.280000,0.280000,0.266667,0.600000,1.000000,1.000000,1.000000
MonoObjective.AU_07,72,0.317095,0.365834,0.373682,0.380002,0.450172,0.501236,0.508436,0.516907,0.362868,0.468648,0.495867,0.527013,0.488831,0.588368,0.610526,0.648214,0.291156,0.426030,0.068402,0.200000,0.220000,0.220000,0.226667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,74,0.601513,0.648531,0.657965,0.659329,0.839882,0.879029,0.887800,0.889428,0.606549,0.713770,0.743698,0.749929,0.795844,0.884193,0.909648,0.916365,0.599545,0.871628,0.093565,0.360000,0.340000,0.290000,0.286667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_07,75,0.346445,0.381626,0.400783,0.408384,0.493109,0.523429,0.546571,0.556759,0.390056,0.467590,0.533016,0.566829,0.526481,0.586273,0.657555,0.698345,0.327623,0.481007,0.080839,0.360000,0.320000,0.290000,0.273333,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_07,76,0.331619,0.361676,0.367417,0.367746,0.476522,0.501319,0.506445,0.506850,0.380503,0.443031,0.462743,0.464231,0.519654,0.563250,0.579340,0.580969,0.304191,0.450513,0.075506,0.240000,0.240000,0.250000,0.246667,0.800000,0.800000,0.800000,0.800000
MonoObjective.AU_07,77,0.350378,0.375288,0.386306,0.386751,0.515125,0.528429,0.538543,0.538950,0.413460,0.465582,0.502502,0.504632,0.582839,0.601415,0.630899,0.632552,0.309444,0.465329,0.099799,0.320000,0.300000,0.310000,0.306667,0.800000,0.800000,0.800000,0.800000
MonoObjective.AU_07,78,0.248411,0.266698,0.268079,0.293942,0.361356,0.372687,0.371557,0.407277,0.265855,0.303162,0.307464,0.430356,0.368156,0.387668,0.384116,0.536955,0.240325,0.360144,0.069915,0.240000,0.240000,0.220000,0.226667,0.400000,0.400000,0.400000,1.000000
MonoObjective.AU_07,79,0.363389,0.417224,0.421165,0.421947,0.547901,0.599919,0.601568,0.602603,0.360073,0.479330,0.493383,0.496806,0.516574,0.626249,0.632973,0.637010,0.365908,0.571927,0.065690,0.280000,0.300000,0.290000,0.286667,0.400000,0.800000,0.800000,0.800000
MonoObjective.AU_07,80,0.353404,0.392866,0.412459,0.414197,0.535780,0.571680,0.592907,0.594596,0.404418,0.490733,0.555154,0.563064,0.585542,0.654147,0.714352,0.720472,0.327404,0.513290,0.121966,0.240000,0.240000,0.240000,0.260000,0.800000,1.000000,1.000000,1.000000
