runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
GrassHopper.AU_05,1,0.369440,0.377352,0.383156,0.383940,0.528800,0.522204,0.526240,0.526924,0.399128,0.416968,0.436967,0.440509,0.542199,0.529625,0.543099,0.545794,0.369342,0.545742,0.067411,0.320000,0.280000,0.270000,0.253333,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_05,3,0.283812,0.301635,0.306601,0.308611,0.413216,0.421145,0.424371,0.426998,0.319242,0.358193,0.375844,0.385987,0.444601,0.458864,0.469847,0.481801,0.260850,0.388708,0.044811,0.240000,0.240000,0.220000,0.220000,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_05,5,0.378820,0.391370,0.402335,0.403433,0.574312,0.565504,0.575303,0.576627,0.384530,0.414143,0.449654,0.454664,0.556747,0.544595,0.574103,0.579503,0.367873,0.576253,0.062914,0.240000,0.220000,0.250000,0.266667,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_05,6,0.200000,0.200000,0.211098,0.215546,0.275531,0.267511,0.280761,0.286496,0.200000,0.200000,0.234120,0.255017,0.261952,0.247105,0.284503,0.309075,0.200037,0.281944,0.043739,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.400000
GrassHopper.AU_05,7,0.248411,0.248096,0.264810,0.267258,0.339256,0.328722,0.349600,0.352773,0.265855,0.264976,0.315977,0.327952,0.343583,0.322677,0.380849,0.395009,0.237647,0.333541,0.069318,0.240000,0.220000,0.220000,0.226667,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_05,8,0.412708,0.448962,0.464301,0.473799,0.579932,0.612081,0.629166,0.641900,0.420550,0.498995,0.554137,0.598031,0.556979,0.622786,0.679989,0.733201,0.409936,0.598074,0.070396,0.240000,0.260000,0.270000,0.286667,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_05,9,0.236309,0.287918,0.304545,0.315709,0.348350,0.405776,0.425103,0.440443,0.256725,0.364284,0.419452,0.469584,0.362633,0.470330,0.527033,0.588667,0.225970,0.340818,0.058335,0.240000,0.260000,0.280000,0.273333,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_05,10,0.356430,0.381304,0.390325,0.397923,0.518486,0.532408,0.540760,0.551118,0.417517,0.474231,0.502419,0.539966,0.578176,0.604830,0.626833,0.672832,0.317448,0.475809,0.066333,0.320000,0.280000,0.270000,0.273333,0.800000,1.000000,1.000000,1.000000
GrassHopper.AU_05,11,0.433283,0.463756,0.485981,0.488988,0.589300,0.613479,0.639670,0.643512,0.439267,0.509393,0.577413,0.591467,0.566026,0.621586,0.694694,0.711072,0.435619,0.607536,0.070486,0.280000,0.280000,0.290000,0.280000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_05,12,0.296520,0.297196,0.300523,0.306342,0.437110,0.418852,0.419552,0.427393,0.344151,0.344896,0.356754,0.386568,0.486125,0.445298,0.448504,0.484649,0.259376,0.391202,0.049710,0.280000,0.240000,0.220000,0.213333,0.600000,0.600000,0.600000,0.800000
GrassHopper.AU_05,13,0.200000,0.244660,0.282406,0.289583,0.353098,0.406882,0.463833,0.475192,0.200000,0.289608,0.404839,0.438704,0.320850,0.415151,0.561433,0.606259,0.207263,0.386139,0.062534,0.200000,0.240000,0.270000,0.266667,0.200000,0.600000,1.000000,1.000000
GrassHopper.AU_05,14,0.408169,0.432333,0.456506,0.462465,0.591926,0.602811,0.630658,0.638544,0.423043,0.478520,0.555584,0.583358,0.585974,0.612573,0.692773,0.725788,0.394343,0.586406,0.088299,0.320000,0.340000,0.350000,0.340000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_05,16,0.305900,0.346301,0.359515,0.363961,0.429847,0.473380,0.488097,0.493959,0.330209,0.420765,0.462842,0.482358,0.437331,0.527567,0.569216,0.592346,0.301613,0.440320,0.101105,0.320000,0.380000,0.350000,0.366667,0.400000,0.800000,0.800000,0.800000
GrassHopper.AU_05,18,0.200000,0.216032,0.233758,0.234924,0.281037,0.294342,0.316741,0.318226,0.200000,0.239120,0.296906,0.302812,0.264881,0.298146,0.364458,0.371247,0.200625,0.292663,0.059833,0.200000,0.220000,0.240000,0.240000,0.200000,0.400000,0.600000,0.600000
GrassHopper.AU_05,21,0.291074,0.306151,0.312583,0.312672,0.431004,0.435470,0.440839,0.440748,0.325522,0.360397,0.381403,0.381817,0.456229,0.466229,0.481721,0.481274,0.269512,0.415688,0.050425,0.240000,0.220000,0.230000,0.233333,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_05,22,0.450832,0.475450,0.489685,0.493395,0.615702,0.629962,0.646415,0.651225,0.516691,0.568368,0.616630,0.634153,0.667755,0.692133,0.743059,0.763747,0.426544,0.598660,0.079457,0.360000,0.320000,0.300000,0.306667,1.000000,1.000000,1.000000,1.000000
GrassHopper.AU_05,23,0.359758,0.377152,0.406970,0.413876,0.649727,0.642335,0.680452,0.690813,0.357187,0.402434,0.493943,0.527747,0.592552,0.596807,0.696882,0.739649,0.355286,0.669536,0.116949,0.280000,0.280000,0.260000,0.240000,0.400000,0.600000,0.800000,1.000000
GrassHopper.AU_05,24,0.397277,0.430102,0.434984,0.435141,0.476934,0.505865,0.510015,0.510162,0.396094,0.463828,0.479084,0.479918,0.465733,0.522956,0.535254,0.536016,0.403235,0.491178,0.072363,0.360000,0.360000,0.360000,0.340000,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_05,25,0.236309,0.280732,0.295466,0.307564,0.332058,0.383772,0.401236,0.417490,0.256725,0.345575,0.394169,0.449113,0.340008,0.433315,0.485074,0.551716,0.225825,0.329683,0.066760,0.240000,0.260000,0.270000,0.280000,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_05,26,0.417852,0.440478,0.465529,0.471090,0.573505,0.587379,0.617112,0.624352,0.414811,0.458234,0.545642,0.572804,0.540538,0.563604,0.659998,0.692250,0.429744,0.604494,0.064956,0.280000,0.260000,0.260000,0.273333,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_05,31,0.429955,0.440280,0.448106,0.448746,0.611972,0.605979,0.612205,0.612986,0.454291,0.473818,0.501393,0.504428,0.613182,0.598396,0.620227,0.623589,0.408533,0.599962,0.058517,0.320000,0.260000,0.250000,0.246667,0.800000,0.800000,0.800000,0.800000
GrassHopper.AU_05,32,0.426324,0.477743,0.485602,0.489491,0.591272,0.644628,0.652283,0.657351,0.447047,0.562330,0.587131,0.607497,0.582385,0.694460,0.715922,0.740026,0.411490,0.593936,0.098584,0.400000,0.460000,0.420000,0.386667,0.600000,1.000000,1.000000,1.000000
GrassHopper.AU_05,33,0.290772,0.298489,0.299207,0.306088,0.400584,0.399244,0.397946,0.406842,0.311463,0.328276,0.330358,0.359542,0.407942,0.405594,0.401451,0.435757,0.285132,0.401882,0.071083,0.280000,0.300000,0.290000,0.286667,0.400000,0.400000,0.400000,0.600000
GrassHopper.AU_05,34,0.254766,0.270086,0.287603,0.304016,0.355274,0.366015,0.387810,0.409849,0.268289,0.307465,0.366385,0.445330,0.351685,0.381238,0.447962,0.543974,0.250340,0.363391,0.054855,0.200000,0.200000,0.230000,0.246667,0.400000,0.600000,0.600000,1.000000
GrassHopper.AU_05,35,0.369440,0.374647,0.383113,0.383709,0.525840,0.516787,0.524166,0.524717,0.364639,0.377385,0.408478,0.411143,0.492173,0.478178,0.505678,0.507914,0.369082,0.542394,0.061652,0.280000,0.280000,0.250000,0.240000,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_05,37,0.200000,0.223246,0.227151,0.233214,0.276569,0.301472,0.304042,0.311904,0.200000,0.257902,0.270356,0.300676,0.263299,0.323580,0.330577,0.366380,0.200751,0.283996,0.056924,0.200000,0.240000,0.230000,0.226667,0.200000,0.400000,0.400000,0.600000
GrassHopper.AU_05,38,0.200000,0.227827,0.239814,0.250529,0.284668,0.312675,0.327089,0.341594,0.200000,0.262100,0.307170,0.361803,0.269951,0.329110,0.378973,0.445792,0.202501,0.297310,0.060143,0.200000,0.240000,0.250000,0.260000,0.200000,0.400000,0.600000,0.800000
GrassHopper.AU_05,39,0.445386,0.448697,0.457380,0.458993,0.621622,0.604804,0.612323,0.614326,0.478747,0.487087,0.517757,0.525053,0.637531,0.605056,0.630927,0.639149,0.414143,0.589808,0.070637,0.320000,0.280000,0.280000,0.273333,0.800000,0.800000,0.800000,0.800000
GrassHopper.AU_05,40,0.403026,0.410032,0.426435,0.431145,0.572165,0.561870,0.580599,0.586785,0.417457,0.432541,0.486234,0.510004,0.562370,0.543104,0.599432,0.627720,0.386643,0.565771,0.057872,0.280000,0.240000,0.250000,0.260000,0.600000,0.600000,0.800000,0.800000
GrassHopper.AU_05,41,0.400000,0.432631,0.454010,0.454375,0.553138,0.581135,0.605379,0.605619,0.400000,0.471982,0.543092,0.544817,0.526599,0.586241,0.660522,0.661494,0.402960,0.569557,0.062190,0.240000,0.220000,0.270000,0.273333,0.600000,0.800000,0.800000,0.800000
GrassHopper.AU_05,42,0.317095,0.325468,0.333212,0.340368,0.469534,0.462864,0.469739,0.479632,0.362868,0.379383,0.409860,0.444307,0.508570,0.490715,0.517312,0.559862,0.287501,0.443405,0.053056,0.200000,0.200000,0.210000,0.226667,0.800000,0.800000,1.000000,1.000000
GrassHopper.AU_05,43,0.229047,0.263293,0.303593,0.306636,0.323504,0.360692,0.412867,0.416855,0.250953,0.324510,0.449431,0.464626,0.335191,0.407980,0.553474,0.571329,0.213156,0.311570,0.064409,0.240000,0.260000,0.320000,0.306667,0.400000,0.600000,1.000000,1.000000
GrassHopper.AU_05,44,0.409077,0.422310,0.431263,0.441797,0.603033,0.595140,0.601869,0.616233,0.432839,0.462182,0.496950,0.545314,0.611400,0.596690,0.624288,0.683482,0.383774,0.578814,0.066044,0.280000,0.260000,0.270000,0.273333,0.600000,0.600000,0.800000,1.000000
GrassHopper.AU_05,45,0.509531,0.555733,0.564861,0.566200,0.715986,0.758956,0.766472,0.768086,0.536578,0.631881,0.661531,0.667726,0.710647,0.790519,0.812868,0.819580,0.506213,0.739000,0.083065,0.280000,0.320000,0.310000,0.313333,1.000000,1.000000,1.000000,1.000000
GrassHopper.AU_05,46,0.254766,0.273749,0.311436,0.317305,0.359829,0.375383,0.423853,0.431683,0.268289,0.311043,0.437172,0.464771,0.358346,0.391554,0.538728,0.571877,0.251256,0.367396,0.053192,0.200000,0.220000,0.280000,0.300000,0.400000,0.600000,1.000000,1.000000
GrassHopper.AU_05,53,0.311649,0.317892,0.336191,0.347122,0.370770,0.371047,0.391477,0.404176,0.358539,0.371625,0.425770,0.477957,0.416980,0.415809,0.473087,0.530906,0.280000,0.338186,0.062196,0.280000,0.260000,0.270000,0.280000,0.600000,0.600000,0.800000,1.000000
GrassHopper.AU_05,54,0.229047,0.299569,0.315518,0.315807,0.319814,0.406773,0.426244,0.426546,0.250953,0.400435,0.449677,0.450969,0.329271,0.497255,0.550501,0.551606,0.217955,0.317072,0.070109,0.240000,0.300000,0.330000,0.313333,0.400000,1.000000,1.000000,1.000000
GrassHopper.AU_05,55,0.400000,0.425944,0.456162,0.458340,0.557806,0.577330,0.615147,0.617967,0.400000,0.459970,0.556242,0.566518,0.524337,0.570416,0.680020,0.692039,0.402565,0.584390,0.062411,0.240000,0.220000,0.250000,0.280000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_05,57,0.300151,0.305267,0.326900,0.329390,0.416807,0.412105,0.439148,0.442382,0.324020,0.334746,0.402801,0.416047,0.423473,0.413978,0.491277,0.506907,0.292730,0.422136,0.073002,0.280000,0.300000,0.300000,0.286667,0.400000,0.400000,0.800000,0.800000
GrassHopper.AU_05,58,0.262935,0.284170,0.285651,0.290242,0.371368,0.388379,0.387969,0.394089,0.291332,0.343313,0.347675,0.368827,0.389124,0.429745,0.427620,0.453085,0.243187,0.355319,0.063447,0.280000,0.260000,0.260000,0.280000,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_05,59,0.328593,0.346705,0.362904,0.363453,0.461735,0.472672,0.491865,0.492484,0.375245,0.415122,0.469382,0.472003,0.496977,0.518106,0.576221,0.578832,0.300728,0.438748,0.087749,0.320000,0.320000,0.320000,0.293333,0.600000,0.600000,0.800000,0.800000
GrassHopper.AU_05,61,0.200000,0.233548,0.235755,0.235833,0.296147,0.332199,0.332573,0.332497,0.200000,0.273465,0.280698,0.281112,0.280306,0.353769,0.354780,0.354481,0.203057,0.313189,0.082222,0.200000,0.240000,0.240000,0.226667,0.200000,0.400000,0.400000,0.400000
GrassHopper.AU_05,63,0.300151,0.319120,0.322121,0.322216,0.439327,0.449639,0.448920,0.448789,0.342678,0.387020,0.395687,0.396131,0.481511,0.503517,0.498916,0.498265,0.270966,0.404800,0.067558,0.240000,0.240000,0.220000,0.220000,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_05,64,0.267474,0.297419,0.302323,0.310451,0.472222,0.491979,0.494515,0.507544,0.288839,0.355268,0.372800,0.408617,0.463370,0.504931,0.514563,0.562850,0.258175,0.480415,0.084170,0.200000,0.260000,0.240000,0.246667,0.400000,0.600000,0.600000,0.800000
GrassHopper.AU_05,65,0.324357,0.351466,0.360303,0.361599,0.452703,0.473745,0.482385,0.483984,0.375606,0.437023,0.465675,0.471846,0.500181,0.542867,0.567551,0.574406,0.290742,0.414065,0.061903,0.280000,0.260000,0.260000,0.253333,0.600000,0.800000,0.800000,0.800000
GrassHopper.AU_05,67,0.200000,0.218036,0.233262,0.238237,0.284668,0.299053,0.318072,0.324773,0.200000,0.240995,0.301139,0.327614,0.269951,0.302165,0.371413,0.403641,0.201173,0.295356,0.053531,0.200000,0.220000,0.220000,0.226667,0.200000,0.400000,0.800000,0.800000
GrassHopper.AU_05,68,0.369440,0.392955,0.405455,0.409906,0.537412,0.549445,0.562327,0.568175,0.364639,0.415538,0.461937,0.481588,0.504950,0.531631,0.577540,0.600689,0.371244,0.556472,0.092026,0.280000,0.280000,0.250000,0.246667,0.400000,0.600000,0.800000,0.800000
GrassHopper.AU_05,71,0.345537,0.365863,0.369298,0.370058,0.491817,0.503210,0.504166,0.505047,0.379752,0.422568,0.434248,0.437716,0.512572,0.533106,0.536407,0.540002,0.337019,0.494862,0.095986,0.280000,0.280000,0.270000,0.273333,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_05,72,0.444175,0.466498,0.485532,0.488611,0.630584,0.639157,0.660620,0.664645,0.466216,0.516649,0.571989,0.586304,0.628055,0.648631,0.704250,0.721141,0.429006,0.627738,0.062338,0.240000,0.220000,0.250000,0.253333,0.800000,0.800000,1.000000,1.000000
