"",L=5,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,strec@5,strec@10,strec@20,strec@30
"",baseline,0.5044,0.5498,0.6028,0.6292,0.4925,0.5153,0.5333,0.5395,0.5827,0.7260,0.8464,0.9010
"",MMR,\textbf{0.557}#,\textbf{0.6278}#,\textbf{0.6796}#,\textbf{0.6991}#,\textbf{0.5329}#,\textbf{0.5691}#,\textbf{0.5872}#,\textbf{0.5918}#,\textbf{0.7218}#,\textbf{0.8844}#,\textbf{0.9495}#,\textbf{0.9737}#
"",MaxSum,0.5397#,0.6052#,0.6590#,0.6812#,0.5173!,0.5506#,0.5692#,0.5744#,0.6824#,0.8381#,0.9211#,0.9571#
"",MaxMin,0.5477#,0.6130#,0.6701#,0.6913#,0.5233#,0.5567#,0.5764#,0.5814#,0.7024#,0.8554#,0.9433#,\textbf{0.9737}#
"",MonoObjective,0.5208,0.5816#,0.6446#,0.6693#,0.5024,0.5331,0.5547!,0.5605!,0.6318#,0.7965#,0.9183#,0.9571#
"",LexRank,0.4152#,0.4357#,0.4823#,0.5154#,0.4160#,0.4258#,0.4413#,0.4491#,0.4228#,0.5329#,0.6713#,0.7647#
"",BiasedLexRank,0.4203#,0.4429#,0.4887#,0.5204#,0.4209#,0.4319#,0.4472#,0.4547#,0.4291#,0.5446#,0.6782#,0.7675#
"",DivRank,0.5254!,0.5809#,0.6327#,0.6542#,0.5045,0.5329,0.5508,0.5558,0.6457#,0.7993#,0.8976#,0.9280#
"",GrassHopper,0.4402#,0.4654#,0.5103#,0.5423#,0.4371#,0.4494#,0.4645#,0.4720#,0.4713#,0.5869#,0.7128#,0.7986#
