runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MaxSum.AU_03,1,0.313767,0.363504,0.375271,0.377030,0.449112,0.503040,0.515410,0.517440,0.373533,0.478204,0.515067,0.523482,0.507429,0.607407,0.640168,0.648599,0.272274,0.402314,0.071676,0.320000,0.300000,0.290000,0.280000,0.800000,1.000000,1.000000,1.000000
MaxSum.AU_03,3,0.303782,0.315720,0.323421,0.330969,0.442291,0.440810,0.447652,0.457933,0.345564,0.370073,0.396393,0.430292,0.481259,0.474083,0.495536,0.537104,0.276102,0.411435,0.054515,0.240000,0.260000,0.250000,0.246667,0.600000,0.600000,0.600000,0.800000
MaxSum.AU_03,5,0.272617,0.292756,0.308134,0.317459,0.413303,0.423013,0.440604,0.453745,0.283100,0.325309,0.373643,0.421785,0.409891,0.427778,0.477055,0.537596,0.277399,0.434531,0.117129,0.240000,0.240000,0.240000,0.240000,0.400000,0.600000,0.600000,0.800000
MaxSum.AU_03,6,0.395764,0.412412,0.434181,0.438783,0.545227,0.551623,0.577462,0.583215,0.450533,0.486521,0.557840,0.579529,0.590091,0.601109,0.677889,0.702377,0.372460,0.524969,0.109240,0.280000,0.240000,0.250000,0.260000,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_03,7,0.342511,0.406644,0.420331,0.421797,0.467769,0.538795,0.554917,0.556760,0.388794,0.528228,0.574376,0.581249,0.502465,0.643253,0.692298,0.700098,0.323747,0.454384,0.083893,0.280000,0.320000,0.280000,0.300000,0.600000,1.000000,1.000000,1.000000
MaxSum.AU_03,8,0.405446,0.450967,0.459470,0.461072,0.569728,0.614816,0.622620,0.624657,0.479617,0.576716,0.604687,0.612530,0.635208,0.719788,0.742019,0.750978,0.364578,0.531900,0.074656,0.320000,0.320000,0.280000,0.280000,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_03,9,0.367927,0.402686,0.420778,0.422671,0.542373,0.567524,0.587348,0.589664,0.445069,0.518905,0.576401,0.585381,0.628676,0.669962,0.724237,0.733829,0.313740,0.473196,0.078119,0.280000,0.300000,0.270000,0.280000,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_03,10,0.376399,0.401294,0.426716,0.430751,0.547535,0.560320,0.591177,0.596585,0.429173,0.483517,0.566381,0.585006,0.594317,0.616672,0.706634,0.728954,0.352362,0.528141,0.063593,0.280000,0.240000,0.230000,0.233333,0.800000,0.800000,1.000000,1.000000
MaxSum.AU_03,11,0.467171,0.503643,0.516766,0.519924,0.635391,0.666244,0.680190,0.684224,0.512604,0.590702,0.632145,0.646509,0.660524,0.720804,0.760543,0.777245,0.431403,0.601656,0.073074,0.280000,0.280000,0.280000,0.273333,1.000000,1.000000,1.000000,1.000000
MaxSum.AU_03,12,0.412708,0.476668,0.492313,0.495607,0.608385,0.671791,0.687305,0.691446,0.420550,0.558259,0.607239,0.622076,0.594042,0.720773,0.763408,0.779911,0.413469,0.623610,0.069918,0.240000,0.240000,0.230000,0.233333,0.600000,1.000000,1.000000,1.000000
