runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
GrassHopper.AU_01,1,0.200000,0.220612,0.242594,0.249286,0.286271,0.305297,0.333187,0.342123,0.200000,0.243318,0.311273,0.345030,0.271692,0.309058,0.386876,0.427495,0.202431,0.299113,0.053556,0.200000,0.220000,0.240000,0.240000,0.200000,0.400000,0.600000,0.800000
GrassHopper.AU_01,3,0.236309,0.252069,0.252087,0.257668,0.344053,0.351940,0.348917,0.356513,0.256725,0.295008,0.295044,0.319946,0.357535,0.377921,0.368838,0.399366,0.219334,0.326843,0.048689,0.240000,0.220000,0.210000,0.213333,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_01,5,0.387897,0.403475,0.415136,0.416234,0.588073,0.582994,0.593607,0.594924,0.391378,0.423653,0.459900,0.464911,0.566662,0.557100,0.587185,0.592562,0.383617,0.600917,0.062601,0.240000,0.220000,0.250000,0.266667,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_01,6,0.200000,0.200000,0.211098,0.215677,0.275531,0.267511,0.280761,0.286670,0.200000,0.200000,0.234120,0.255196,0.261952,0.247105,0.284503,0.309292,0.200037,0.281944,0.043715,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.400000
GrassHopper.AU_01,7,0.248411,0.262496,0.266309,0.268903,0.339256,0.347802,0.351579,0.354945,0.265855,0.302468,0.317530,0.329707,0.343583,0.368332,0.382721,0.397123,0.237793,0.333746,0.068980,0.240000,0.220000,0.220000,0.226667,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_01,8,0.419970,0.453599,0.468938,0.478395,0.590136,0.618404,0.635450,0.648126,0.433288,0.502963,0.558103,0.601935,0.573850,0.627738,0.684856,0.737987,0.413452,0.603203,0.068782,0.280000,0.260000,0.270000,0.286667,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_01,9,0.236309,0.287918,0.304545,0.315596,0.348350,0.405776,0.425103,0.440285,0.256725,0.364284,0.419452,0.469426,0.362633,0.470330,0.527033,0.588469,0.225970,0.340818,0.058377,0.240000,0.260000,0.280000,0.273333,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_01,10,0.344327,0.371234,0.380670,0.386587,0.500880,0.518348,0.527384,0.535418,0.408894,0.467551,0.496109,0.524032,0.566235,0.596310,0.618960,0.652976,0.299310,0.448623,0.065776,0.320000,0.280000,0.270000,0.266667,0.800000,1.000000,1.000000,1.000000
GrassHopper.AU_01,11,0.440545,0.466676,0.488901,0.491887,0.599177,0.617342,0.643513,0.647327,0.452006,0.511874,0.579894,0.593917,0.582440,0.624615,0.697679,0.714017,0.437963,0.610805,0.068996,0.320000,0.280000,0.290000,0.280000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_01,12,0.320726,0.321244,0.324718,0.330722,0.472792,0.452743,0.453330,0.461406,0.361395,0.361911,0.373937,0.404023,0.510484,0.467266,0.470105,0.506533,0.296878,0.447763,0.051044,0.280000,0.240000,0.220000,0.213333,0.600000,0.600000,0.600000,0.800000
GrassHopper.AU_01,13,0.200000,0.244660,0.283069,0.290322,0.353098,0.406882,0.464922,0.476404,0.200000,0.289608,0.405623,0.439590,0.320850,0.415151,0.562521,0.607483,0.207266,0.386145,0.062560,0.200000,0.240000,0.270000,0.266667,0.200000,0.600000,1.000000,1.000000
GrassHopper.AU_01,14,0.432375,0.456381,0.481644,0.487483,0.627029,0.636341,0.665385,0.673089,0.440288,0.495534,0.573724,0.601331,0.609861,0.634354,0.715392,0.748150,0.431917,0.642279,0.089369,0.320000,0.340000,0.350000,0.340000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_01,16,0.305900,0.346301,0.359613,0.364059,0.429847,0.473380,0.488230,0.494092,0.330209,0.420765,0.462936,0.482452,0.437331,0.527567,0.569331,0.592461,0.301615,0.440323,0.100597,0.320000,0.380000,0.350000,0.366667,0.400000,0.800000,0.800000,0.800000
GrassHopper.AU_01,18,0.229047,0.228857,0.248830,0.250023,0.321854,0.311816,0.337164,0.338680,0.250953,0.250273,0.310541,0.316486,0.332363,0.312052,0.381195,0.388012,0.209469,0.305563,0.060157,0.240000,0.220000,0.240000,0.240000,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_01,21,0.291074,0.307359,0.314558,0.314648,0.431004,0.437188,0.443626,0.443534,0.325522,0.361485,0.383344,0.383758,0.456229,0.467637,0.484172,0.483722,0.270076,0.416557,0.050015,0.240000,0.220000,0.230000,0.233333,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_01,22,0.447201,0.477046,0.488104,0.491519,0.610744,0.632077,0.644328,0.648749,0.513805,0.576175,0.615659,0.631569,0.664025,0.701641,0.741888,0.760635,0.422588,0.593108,0.079733,0.360000,0.320000,0.300000,0.300000,1.000000,1.000000,1.000000,1.000000
GrassHopper.AU_01,23,0.296823,0.326566,0.351749,0.358752,0.536066,0.556182,0.588122,0.598804,0.316028,0.385013,0.460512,0.494451,0.524272,0.570972,0.649715,0.692984,0.295826,0.557483,0.115763,0.280000,0.280000,0.260000,0.240000,0.400000,0.600000,0.800000,1.000000
GrassHopper.AU_01,24,0.397277,0.431042,0.436304,0.436467,0.476934,0.506969,0.511563,0.511716,0.396094,0.464707,0.480371,0.481213,0.465733,0.523947,0.536692,0.537462,0.403529,0.491536,0.072918,0.360000,0.360000,0.360000,0.340000,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_01,25,0.236309,0.280732,0.295466,0.307564,0.332058,0.383772,0.401236,0.417490,0.256725,0.345575,0.394169,0.449113,0.340008,0.433315,0.485074,0.551716,0.225825,0.329683,0.066860,0.240000,0.260000,0.270000,0.280000,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_01,26,0.417852,0.440478,0.465529,0.471109,0.573505,0.587379,0.617112,0.624377,0.414811,0.458234,0.545642,0.572907,0.540538,0.563604,0.659998,0.692374,0.429744,0.604494,0.064949,0.280000,0.260000,0.260000,0.273333,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_01,31,0.422693,0.436616,0.441616,0.442265,0.601637,0.600937,0.603339,0.604133,0.448519,0.477368,0.496527,0.499573,0.605391,0.602879,0.614207,0.617588,0.399194,0.586248,0.057731,0.320000,0.260000,0.250000,0.246667,0.800000,0.800000,0.800000,0.800000
GrassHopper.AU_01,32,0.426324,0.477743,0.485277,0.489165,0.591272,0.644628,0.651847,0.656914,0.447047,0.562330,0.586764,0.607128,0.582385,0.694460,0.715474,0.739578,0.411486,0.593930,0.098403,0.400000,0.460000,0.420000,0.386667,0.600000,1.000000,1.000000,1.000000
GrassHopper.AU_01,33,0.290772,0.298589,0.306529,0.306541,0.400584,0.399378,0.407684,0.407444,0.311463,0.328374,0.360040,0.360095,0.407942,0.405714,0.437522,0.436428,0.285150,0.401909,0.071254,0.280000,0.300000,0.300000,0.286667,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_01,34,0.200000,0.215997,0.250636,0.261277,0.278903,0.292716,0.337962,0.352231,0.200000,0.239040,0.360200,0.412784,0.262169,0.296395,0.440400,0.504219,0.200683,0.291310,0.058814,0.200000,0.200000,0.240000,0.246667,0.200000,0.400000,0.800000,1.000000
GrassHopper.AU_01,35,0.369440,0.374847,0.384445,0.385122,0.525840,0.517063,0.525989,0.526650,0.364639,0.377580,0.409996,0.413080,0.492173,0.478425,0.507556,0.510306,0.369125,0.542458,0.061843,0.280000,0.280000,0.250000,0.246667,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_01,37,0.200000,0.223246,0.227198,0.233724,0.276569,0.301472,0.304106,0.312586,0.200000,0.257902,0.270416,0.301477,0.263299,0.323580,0.330651,0.367355,0.200751,0.283996,0.055351,0.200000,0.240000,0.230000,0.226667,0.200000,0.400000,0.400000,0.600000
