# Dataset: AU : L=2
# l baseline MMR MaxSum MaxMin MonoObjective LexRank BiasedLexRank DivRank GrassHopper
baseline,MMR,MaxSum,MaxMin,MonoObjective,LexRank,BiasedLexRank,DivRank,GrassHopper
"",L=2,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,strec@5,strec@10,strec@20,strec@30
"",baseline,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"",MMR,0.0014#,0.0000#,0.0000#,0.0000#,0.0179!,0.0003#,0.0001#,0.0001#,0.0000#,0.0000#,0.0000#,0.0000#
"",MaxSum,0.0179!,0.0002#,0.0000#,0.0000#,0.1251,0.0248!,0.0158!,0.0172!,0.0002#,0.0000#,0.0000#,0.0001#
"",MaxMin,0.0071#,0.0000#,0.0000#,0.0000#,0.0642,0.0045#,0.0015#,0.0015#,0.0000#,0.0000#,0.0000#,0.0000#
"",MonoObjective,0.5690,0.0905,0.0042#,0.0019#,0.8354,0.4617,0.2737,0.2645,0.1912,0.0087#,0.0001#,0.0001#
"",LexRank,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",BiasedLexRank,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",DivRank,0.5505,0.0210!,0.0123!,0.0172!,0.9940,0.3891,0.3529,0.3774,0.0124!,0.0000#,0.0000#,0.0000#
"",GrassHopper,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
