runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
GrassHopper.AU_04,1,0.369440,0.377352,0.383156,0.383940,0.528800,0.522204,0.526240,0.526924,0.399128,0.416968,0.436967,0.440509,0.542199,0.529625,0.543099,0.545794,0.369342,0.545742,0.067411,0.320000,0.280000,0.270000,0.253333,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_04,3,0.283812,0.303972,0.309123,0.311210,0.413216,0.424407,0.427862,0.430595,0.319242,0.360260,0.377473,0.387726,0.444601,0.461513,0.471883,0.483972,0.262187,0.390700,0.045175,0.240000,0.240000,0.220000,0.220000,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_04,5,0.378820,0.392578,0.404188,0.405286,0.574312,0.567249,0.577953,0.579275,0.384530,0.415232,0.451416,0.456426,0.556747,0.546026,0.576353,0.581749,0.368461,0.577175,0.062946,0.240000,0.220000,0.250000,0.266667,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_04,6,0.200000,0.200000,0.211098,0.215677,0.275531,0.267511,0.280761,0.286670,0.200000,0.200000,0.234120,0.255196,0.261952,0.247105,0.284503,0.309292,0.200037,0.281944,0.043708,0.200000,0.200000,0.210000,0.213333,0.200000,0.200000,0.400000,0.400000
GrassHopper.AU_04,7,0.248411,0.248096,0.264810,0.267323,0.339256,0.328722,0.349600,0.352859,0.265855,0.264976,0.315977,0.328042,0.343583,0.322677,0.380849,0.395117,0.237647,0.333541,0.069245,0.240000,0.220000,0.220000,0.226667,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_04,8,0.441755,0.457207,0.472545,0.482002,0.620748,0.623322,0.640337,0.653012,0.471503,0.505950,0.561089,0.604920,0.624461,0.631466,0.688520,0.741648,0.416967,0.608332,0.068861,0.280000,0.260000,0.270000,0.286667,0.800000,0.800000,1.000000,1.000000
GrassHopper.AU_04,9,0.236309,0.287918,0.304545,0.315709,0.348350,0.405776,0.425103,0.440443,0.256725,0.364284,0.419452,0.469584,0.362633,0.470330,0.527033,0.588667,0.225970,0.340818,0.058335,0.240000,0.260000,0.280000,0.273333,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_04,10,0.344327,0.371284,0.380737,0.388335,0.500880,0.518418,0.527477,0.537839,0.408894,0.467600,0.496213,0.533761,0.566235,0.596372,0.619091,0.665100,0.299319,0.448637,0.065651,0.320000,0.280000,0.270000,0.273333,0.800000,1.000000,1.000000,1.000000
GrassHopper.AU_04,11,0.447806,0.467879,0.490103,0.493089,0.609053,0.618932,0.645095,0.648910,0.464744,0.512870,0.580889,0.594912,0.598854,0.625829,0.698877,0.715213,0.439135,0.612439,0.069148,0.320000,0.280000,0.290000,0.280000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_04,12,0.296520,0.297196,0.300523,0.306342,0.437110,0.418852,0.419552,0.427393,0.344151,0.344896,0.356754,0.386568,0.486125,0.445298,0.448504,0.484649,0.259376,0.391202,0.049710,0.280000,0.240000,0.220000,0.213333,0.600000,0.600000,0.600000,0.800000
GrassHopper.AU_04,13,0.200000,0.244660,0.282825,0.290001,0.353098,0.406882,0.464521,0.475878,0.200000,0.289608,0.405329,0.439194,0.320850,0.415151,0.562113,0.606937,0.207265,0.386143,0.062593,0.200000,0.240000,0.270000,0.266667,0.200000,0.600000,1.000000,1.000000
GrassHopper.AU_04,14,0.408169,0.432333,0.456506,0.462466,0.591926,0.602811,0.630658,0.638546,0.423043,0.478520,0.555584,0.583360,0.585974,0.612573,0.692773,0.725791,0.394343,0.586406,0.088328,0.320000,0.340000,0.350000,0.340000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_04,16,0.305900,0.346301,0.359515,0.363961,0.429847,0.473380,0.488097,0.493959,0.330209,0.420765,0.462842,0.482358,0.437331,0.527567,0.569216,0.592346,0.301613,0.440320,0.101105,0.320000,0.380000,0.350000,0.366667,0.400000,0.800000,0.800000,0.800000
GrassHopper.AU_04,18,0.200000,0.218036,0.237119,0.238285,0.281037,0.297072,0.321296,0.322779,0.200000,0.240995,0.300271,0.306177,0.264881,0.300485,0.368589,0.375373,0.201251,0.293575,0.059960,0.200000,0.220000,0.240000,0.240000,0.200000,0.400000,0.600000,0.600000
GrassHopper.AU_04,21,0.291074,0.306151,0.312926,0.313015,0.431004,0.435470,0.441324,0.441233,0.325522,0.360397,0.381790,0.382204,0.456229,0.466229,0.482210,0.481762,0.269517,0.415695,0.050462,0.240000,0.220000,0.230000,0.233333,0.600000,0.600000,0.600000,0.600000
GrassHopper.AU_04,22,0.450832,0.476658,0.490892,0.494603,0.615702,0.631562,0.648009,0.652819,0.516691,0.569456,0.617718,0.635241,0.667755,0.693459,0.744370,0.765058,0.427093,0.599431,0.079301,0.360000,0.320000,0.300000,0.306667,1.000000,1.000000,1.000000,1.000000
GrassHopper.AU_04,23,0.262935,0.280961,0.310791,0.317696,0.474863,0.478510,0.519640,0.530276,0.291332,0.337457,0.428989,0.462793,0.483302,0.500447,0.605241,0.648615,0.242786,0.457530,0.109541,0.280000,0.280000,0.260000,0.240000,0.400000,0.600000,0.800000,1.000000
GrassHopper.AU_04,24,0.397277,0.430102,0.434984,0.435141,0.476934,0.505865,0.510015,0.510162,0.396094,0.463828,0.479084,0.479918,0.465733,0.522956,0.535254,0.536016,0.403235,0.491178,0.072403,0.360000,0.360000,0.360000,0.340000,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_04,25,0.229047,0.273517,0.288252,0.300350,0.321854,0.373910,0.391441,0.407699,0.250953,0.339880,0.388476,0.443420,0.332363,0.426174,0.478068,0.544722,0.216450,0.315996,0.066613,0.240000,0.260000,0.270000,0.280000,0.400000,0.800000,0.800000,1.000000
GrassHopper.AU_04,26,0.417852,0.440478,0.465529,0.471090,0.573505,0.587379,0.617112,0.624352,0.414811,0.458234,0.545642,0.572804,0.540538,0.563604,0.659998,0.692250,0.429744,0.604494,0.064956,0.280000,0.260000,0.260000,0.273333,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_04,31,0.422693,0.436616,0.441358,0.441997,0.601637,0.600937,0.602986,0.603768,0.448519,0.477368,0.496205,0.499239,0.605391,0.602879,0.613809,0.617174,0.399194,0.586247,0.057659,0.320000,0.260000,0.250000,0.246667,0.800000,0.800000,0.800000,0.800000
GrassHopper.AU_04,32,0.426324,0.477743,0.485602,0.489490,0.591272,0.644628,0.652283,0.657350,0.447047,0.562330,0.587131,0.607496,0.582385,0.694460,0.715922,0.740026,0.411490,0.593936,0.098487,0.400000,0.460000,0.420000,0.386667,0.600000,1.000000,1.000000,1.000000
GrassHopper.AU_04,33,0.290772,0.298489,0.299207,0.306088,0.400584,0.399244,0.397946,0.406842,0.311463,0.328276,0.330358,0.359542,0.407942,0.405594,0.401451,0.435757,0.285132,0.401882,0.071057,0.280000,0.300000,0.290000,0.286667,0.400000,0.400000,0.400000,0.600000
GrassHopper.AU_04,34,0.254766,0.270086,0.287603,0.304016,0.355274,0.366015,0.387810,0.409849,0.268289,0.307465,0.366385,0.445330,0.351685,0.381238,0.447962,0.543974,0.250340,0.363391,0.054830,0.200000,0.200000,0.230000,0.246667,0.400000,0.600000,0.600000,1.000000
GrassHopper.AU_04,35,0.369440,0.374647,0.383113,0.383709,0.525840,0.516787,0.524166,0.524717,0.364639,0.377385,0.408478,0.411143,0.492173,0.478178,0.505678,0.507914,0.369082,0.542394,0.061652,0.280000,0.280000,0.250000,0.240000,0.400000,0.400000,0.600000,0.600000
GrassHopper.AU_04,37,0.200000,0.223246,0.227151,0.233442,0.276569,0.301472,0.304042,0.312208,0.200000,0.257902,0.270356,0.301082,0.263299,0.323580,0.330577,0.366874,0.200751,0.283996,0.055813,0.200000,0.240000,0.230000,0.233333,0.200000,0.400000,0.400000,0.600000
GrassHopper.AU_04,38,0.200000,0.231262,0.243249,0.253962,0.284668,0.317390,0.331774,0.346275,0.200000,0.265072,0.310141,0.364772,0.269951,0.332843,0.382639,0.449450,0.204845,0.300751,0.060236,0.200000,0.240000,0.250000,0.260000,0.200000,0.400000,0.600000,0.800000
GrassHopper.AU_04,39,0.469592,0.472745,0.481532,0.483154,0.655405,0.637218,0.644656,0.646664,0.495992,0.504102,0.534901,0.542209,0.660495,0.626191,0.651819,0.660033,0.451643,0.643215,0.071472,0.320000,0.280000,0.280000,0.273333,0.800000,0.800000,0.800000,0.800000
GrassHopper.AU_04,40,0.403026,0.410032,0.426435,0.431145,0.572165,0.561870,0.580599,0.586785,0.417457,0.432541,0.486234,0.510004,0.562370,0.543104,0.599432,0.627720,0.386643,0.565771,0.057872,0.280000,0.240000,0.250000,0.260000,0.600000,0.600000,0.800000,0.800000
GrassHopper.AU_04,41,0.400000,0.432631,0.455451,0.455859,0.553138,0.581135,0.607301,0.607598,0.400000,0.471982,0.544457,0.546390,0.526599,0.586241,0.662182,0.663403,0.403012,0.569631,0.061195,0.240000,0.220000,0.270000,0.266667,0.600000,0.800000,0.800000,0.800000
GrassHopper.AU_04,42,0.317095,0.325468,0.333212,0.340368,0.469534,0.462864,0.469739,0.479632,0.362868,0.379383,0.409860,0.444307,0.508570,0.490715,0.517312,0.559862,0.287501,0.443405,0.053106,0.200000,0.200000,0.210000,0.226667,0.800000,0.800000,1.000000,1.000000
GrassHopper.AU_04,43,0.229047,0.263293,0.303593,0.306636,0.323504,0.360692,0.412867,0.416855,0.250953,0.324510,0.449431,0.464626,0.335191,0.407980,0.553474,0.571329,0.213156,0.311570,0.064409,0.240000,0.260000,0.320000,0.306667,0.400000,0.600000,1.000000,1.000000
GrassHopper.AU_04,44,0.409077,0.422185,0.431137,0.441672,0.603033,0.594963,0.601694,0.616058,0.432839,0.462065,0.496832,0.545196,0.611400,0.596539,0.624141,0.683335,0.383738,0.578759,0.066037,0.280000,0.260000,0.270000,0.273333,0.600000,0.600000,0.800000,1.000000
GrassHopper.AU_04,45,0.509531,0.546271,0.556076,0.557550,0.715986,0.746034,0.754552,0.756351,0.536578,0.610997,0.641392,0.648077,0.710647,0.764392,0.788122,0.795463,0.505395,0.737806,0.078126,0.280000,0.300000,0.300000,0.313333,1.000000,1.000000,1.000000,1.000000
GrassHopper.AU_04,46,0.254766,0.276326,0.316765,0.322887,0.359829,0.378917,0.431105,0.439278,0.268289,0.313365,0.442537,0.470486,0.358346,0.394477,0.545340,0.578909,0.252512,0.369232,0.054571,0.200000,0.220000,0.280000,0.300000,0.400000,0.600000,1.000000,1.000000
GrassHopper.AU_04,53,0.311649,0.317892,0.336191,0.347122,0.370770,0.371047,0.391477,0.404176,0.358539,0.371625,0.425770,0.477957,0.416980,0.415809,0.473087,0.530906,0.280000,0.338186,0.062196,0.280000,0.260000,0.270000,0.280000,0.600000,0.600000,0.800000,1.000000
GrassHopper.AU_04,54,0.229047,0.299569,0.315518,0.315807,0.319814,0.406773,0.426244,0.426546,0.250953,0.400435,0.449677,0.450969,0.329271,0.497255,0.550501,0.551606,0.217955,0.317072,0.070172,0.240000,0.300000,0.330000,0.313333,0.400000,1.000000,1.000000,1.000000
GrassHopper.AU_04,55,0.400000,0.425944,0.456162,0.458342,0.557806,0.577330,0.615147,0.617970,0.400000,0.459970,0.556242,0.566521,0.524337,0.570416,0.680020,0.692042,0.402565,0.584390,0.062366,0.240000,0.220000,0.250000,0.280000,0.600000,0.800000,1.000000,1.000000
GrassHopper.AU_04,57,0.298336,0.303464,0.325097,0.327586,0.414286,0.409671,0.436725,0.439960,0.322577,0.333322,0.401378,0.414624,0.421587,0.412218,0.489541,0.505173,0.290386,0.418756,0.072655,0.280000,0.300000,0.300000,0.286667,0.400000,0.400000,0.800000,0.800000
GrassHopper.AU_04,58,0.250832,0.272146,0.273539,0.278130,0.354274,0.371946,0.371519,0.377644,0.282201,0.334304,0.338576,0.359729,0.376928,0.418468,0.416428,0.441908,0.224432,0.327916,0.063203,0.280000,0.260000,0.260000,0.280000,0.400000,0.600000,0.600000,0.600000
GrassHopper.AU_04,59,0.328593,0.346705,0.363597,0.364169,0.461735,0.472672,0.492805,0.493455,0.375245,0.415122,0.470142,0.472795,0.496977,0.518106,0.577154,0.579804,0.300744,0.438771,0.087583,0.320000,0.320000,0.320000,0.293333,0.600000,0.600000,0.800000,0.800000
GrassHopper.AU_04,61,0.200000,0.233548,0.235806,0.235884,0.296147,0.332199,0.332645,0.332568,0.200000,0.273465,0.280758,0.281172,0.280306,0.353769,0.354855,0.354556,0.203057,0.313189,0.082295,0.200000,0.240000,0.240000,0.226667,0.200000,0.400000,0.400000,0.400000
GrassHopper.AU_04,63,0.314070,0.332947,0.335947,0.336042,0.459699,0.469122,0.468188,0.468045,0.353252,0.397452,0.406116,0.406560,0.496369,0.517089,0.512065,0.511383,0.292059,0.436312,0.069268,0.240000,0.240000,0.220000,0.220000,0.600000,0.600000,0.600000,0.600000
