# Dataset: AU : L=8
# l baseline MMR MaxSum MaxMin MonoObjective LexRank BiasedLexRank DivRank GrassHopper
baseline,MMR,MaxSum,MaxMin,MonoObjective,LexRank,BiasedLexRank,DivRank,GrassHopper
"",L=8,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,strec@5,strec@10,strec@20,strec@30
"",baseline,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
"",MMR,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",MaxSum,0.0000#,0.0000#,0.0000#,0.0000#,0.0013#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",MaxMin,0.0000#,0.0000#,0.0000#,0.0000#,0.0002#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",MonoObjective,0.0576,0.0000#,0.0000#,0.0000#,0.2674,0.0264!,0.0090#,0.0096#,0.0001#,0.0000#,0.0000#,0.0000#
"",LexRank,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",BiasedLexRank,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
"",DivRank,0.2650,0.0098#,0.0012#,0.0055#,0.5020,0.1634,0.1125,0.1405,0.0843,0.0002#,0.0000#,0.0081#
"",GrassHopper,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#,0.0000#
