runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MaxMin.AU_06,1,0.321029,0.354873,0.371361,0.374297,0.459506,0.491095,0.510040,0.513690,0.379305,0.451021,0.506070,0.519345,0.515270,0.572879,0.628986,0.643473,0.278967,0.412203,0.070092,0.320000,0.260000,0.280000,0.266667,0.800000,1.000000,1.000000,1.000000
MaxMin.AU_06,3,0.272920,0.302521,0.312666,0.325693,0.397357,0.422381,0.432766,0.450634,0.296652,0.358808,0.388269,0.449243,0.413140,0.459652,0.485380,0.560759,0.262859,0.391702,0.054710,0.240000,0.240000,0.260000,0.253333,0.400000,0.600000,0.600000,1.000000
MaxMin.AU_06,5,0.436006,0.453206,0.455498,0.468214,0.661009,0.654852,0.651322,0.669218,0.443174,0.481366,0.488740,0.546181,0.641655,0.632992,0.624007,0.696147,0.436175,0.683245,0.166444,0.320000,0.280000,0.240000,0.246667,0.600000,0.600000,0.600000,1.000000
MaxMin.AU_06,6,0.374584,0.409635,0.426840,0.430012,0.516048,0.547909,0.567699,0.571558,0.427221,0.501554,0.558927,0.574856,0.559558,0.619682,0.679209,0.696713,0.351598,0.495565,0.095781,0.280000,0.300000,0.290000,0.280000,0.800000,0.800000,1.000000,1.000000
MaxMin.AU_06,7,0.514977,0.554609,0.570007,0.571931,0.703306,0.734846,0.752518,0.754933,0.547873,0.633367,0.680962,0.689905,0.708055,0.771287,0.820767,0.830972,0.503777,0.707058,0.109006,0.360000,0.320000,0.310000,0.320000,0.800000,1.000000,1.000000,1.000000
MaxMin.AU_06,8,0.415734,0.461431,0.469104,0.471082,0.584184,0.629081,0.635675,0.638218,0.487305,0.583003,0.607350,0.617453,0.645389,0.727635,0.745288,0.757013,0.381405,0.556449,0.082562,0.320000,0.300000,0.260000,0.273333,1.000000,1.000000,1.000000,1.000000
MaxMin.AU_06,9,0.380030,0.408433,0.420675,0.424238,0.560214,0.575623,0.587205,0.591850,0.454199,0.515288,0.553276,0.572086,0.641573,0.665293,0.695181,0.717163,0.331662,0.500227,0.069055,0.280000,0.300000,0.290000,0.300000,1.000000,1.000000,1.000000,1.000000
MaxMin.AU_06,10,0.321936,0.382954,0.404878,0.406849,0.468310,0.534712,0.560922,0.563480,0.358752,0.487863,0.556043,0.565015,0.496798,0.622215,0.693736,0.704044,0.310892,0.465984,0.083587,0.240000,0.240000,0.250000,0.260000,0.600000,1.000000,1.000000,1.000000
MaxMin.AU_06,11,0.495008,0.535356,0.543232,0.544997,0.673251,0.708195,0.715026,0.717221,0.548417,0.635858,0.660724,0.669154,0.706673,0.775905,0.794927,0.804469,0.455014,0.634585,0.087365,0.320000,0.320000,0.270000,0.273333,1.000000,1.000000,1.000000,1.000000
MaxMin.AU_06,12,0.331619,0.358992,0.373194,0.380644,0.488849,0.505944,0.521006,0.531056,0.388344,0.446821,0.493778,0.529643,0.548550,0.576894,0.620768,0.664026,0.293915,0.443294,0.071420,0.240000,0.240000,0.260000,0.260000,0.800000,0.800000,1.000000,1.000000
MaxMin.AU_06,13,0.298941,0.350589,0.369570,0.370872,0.527778,0.583047,0.606993,0.608583,0.334505,0.456936,0.523255,0.529093,0.536630,0.655015,0.725653,0.731171,0.279842,0.521357,0.065798,0.200000,0.240000,0.260000,0.273333,0.600000,1.000000,1.000000,1.000000
MaxMin.AU_06,14,0.436914,0.485536,0.496603,0.498296,0.633611,0.676993,0.686051,0.688019,0.453478,0.564713,0.599981,0.607681,0.628132,0.722912,0.748134,0.756050,0.428580,0.637318,0.069968,0.240000,0.240000,0.280000,0.280000,0.800000,1.000000,1.000000,1.000000
MaxMin.AU_06,16,0.331619,0.379540,0.395543,0.401320,0.465986,0.518815,0.537010,0.544661,0.388344,0.482997,0.532840,0.560016,0.514325,0.605596,0.655302,0.687711,0.299116,0.436674,0.054359,0.240000,0.260000,0.270000,0.266667,0.800000,1.000000,1.000000,1.000000
