"",L=9,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,strec@5,strec@10,strec@20,strec@30
"",baseline,0.5044,0.5498,0.6028,0.6292,0.4925,0.5153,0.5333,0.5395,0.5827,0.7260,0.8464,0.9010
"",MMR,\textbf{0.5647}#,\textbf{0.6306}#,\textbf{0.6834}#,\textbf{0.7018}#,\textbf{0.5381}#,\textbf{0.5718}#,\textbf{0.5902}#,\textbf{0.5946}#,\textbf{0.7439}#,\textbf{0.8817}#,\textbf{0.9529}#,\textbf{0.9737}#
"",MaxSum,0.5429#,0.6136#,0.6699#,0.6884#,0.5188#,0.5551#,0.5748#,0.5792#,0.6997#,0.8554#,0.9419#,0.9626#
"",MaxMin,0.5570#,0.6244#,0.6781#,0.6971#,0.5311#,0.5657#,0.5844#,0.5889#,0.7211#,0.8727#,0.9495#,0.9716#
"",MonoObjective,0.5238,0.5894#,0.6502#,0.6734#,0.5037,0.5371!,0.5580#,0.5635#,0.6471#,0.8166#,0.9260#,0.9619#
"",LexRank,0.4152#,0.4357#,0.4823#,0.5154#,0.4160#,0.4258#,0.4413#,0.4491#,0.4228#,0.5329#,0.6713#,0.7647#
"",BiasedLexRank,0.4250#,0.4486#,0.4948#,0.5254#,0.4262#,0.4377#,0.4532#,0.4604#,0.4325#,0.5502#,0.6872#,0.7702#
"",DivRank,0.5177,0.5721!,0.6294#,0.6514#,0.5001,0.5275,0.5473,0.5525,0.6187!,0.7785#,0.8969#,0.9308#
"",GrassHopper,0.4199#,0.4438#,0.4915#,0.5264#,0.4193#,0.4309#,0.4470#,0.4552#,0.4332#,0.5495#,0.6851#,0.7882#
