runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,ERR-IA@30,nERR-IA@5,nERR-IA@10,nERR-IA@20,nERR-IA@30,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-DCG@30,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,alpha-nDCG@30,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,P-IA@30,strec@5,strec@10,strec@20,strec@30
MonoObjective.AU_03,1,0.468684,0.511756,0.518637,0.519647,0.670853,0.708201,0.712315,0.713169,0.497012,0.595125,0.617283,0.622285,0.675170,0.755918,0.767210,0.771017,0.451844,0.667648,0.085260,0.360000,0.360000,0.300000,0.286667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_03,3,0.264448,0.286866,0.291491,0.306149,0.385022,0.400525,0.403457,0.423592,0.294398,0.346921,0.364770,0.432955,0.410002,0.444425,0.456003,0.540429,0.242988,0.362090,0.053258,0.240000,0.240000,0.260000,0.260000,0.400000,0.600000,0.600000,1.000000
MonoObjective.AU_03,5,0.396067,0.402768,0.408837,0.409563,0.600459,0.581974,0.584600,0.585389,0.413912,0.430537,0.450840,0.454146,0.599288,0.566152,0.575618,0.578843,0.373748,0.585456,0.135630,0.320000,0.260000,0.240000,0.226667,0.600000,0.600000,0.600000,0.600000
MonoObjective.AU_03,6,0.280787,0.318841,0.341521,0.346119,0.386828,0.426466,0.454225,0.460049,0.328651,0.408894,0.487745,0.509404,0.430454,0.505198,0.592709,0.617387,0.243573,0.343307,0.127070,0.240000,0.240000,0.260000,0.266667,0.600000,0.800000,1.000000,1.000000
MonoObjective.AU_03,7,0.467171,0.497499,0.525660,0.527177,0.638017,0.659177,0.693972,0.695860,0.490463,0.552537,0.645194,0.652660,0.633859,0.672855,0.777656,0.786111,0.457300,0.641828,0.109323,0.280000,0.340000,0.310000,0.306667,0.800000,0.800000,1.000000,1.000000
MonoObjective.AU_03,8,0.394554,0.427331,0.438847,0.439535,0.554422,0.582592,0.594674,0.595478,0.479676,0.550676,0.585546,0.588713,0.635285,0.687289,0.718531,0.721777,0.336394,0.490780,0.076418,0.320000,0.320000,0.270000,0.260000,1.000000,1.000000,1.000000,1.000000
MonoObjective.AU_03,9,0.365507,0.418116,0.432551,0.433855,0.538805,0.589271,0.603782,0.605267,0.428723,0.540398,0.587031,0.593241,0.605587,0.697712,0.737594,0.743683,0.330307,0.498183,0.074248,0.320000,0.280000,0.280000,0.266667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_03,10,0.363691,0.409648,0.426094,0.432461,0.529049,0.571984,0.590316,0.598953,0.358450,0.467284,0.518589,0.550997,0.496380,0.595969,0.647007,0.686577,0.365439,0.547741,0.077710,0.240000,0.240000,0.220000,0.240000,0.400000,0.800000,0.800000,1.000000
MonoObjective.AU_03,11,0.395764,0.439036,0.454642,0.456060,0.538272,0.580779,0.598420,0.600178,0.450533,0.545981,0.595654,0.602361,0.580543,0.666234,0.716641,0.724169,0.374872,0.522815,0.076771,0.280000,0.280000,0.290000,0.266667,0.800000,1.000000,1.000000,1.000000
MonoObjective.AU_03,12,0.389107,0.429407,0.444943,0.449923,0.573595,0.605183,0.621174,0.627710,0.403033,0.496392,0.551037,0.573875,0.569299,0.640896,0.692752,0.719481,0.373516,0.563352,0.090310,0.240000,0.240000,0.260000,0.260000,0.600000,0.800000,1.000000,1.000000
